MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK369,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-03-08
MK370,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-03-23
MK371,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-03-30
MK372,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-04-07
MK373,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-04-17
MK374,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-01-27
MK375,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-02-04
MK376,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-02-11
MK377,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-02-21
MK378,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-03-08
MK379,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-03-23
MK380,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-03-30
MK381,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-04-07
MK382,P002,PL02,S016,33000000,0,0,0.0,512GB,2024-04-17
MK383,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-01-27
MK384,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-04
MK385,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-11
MK386,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-21
MK387,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-08
MK388,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-23
MK389,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-30
MK390,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-04-07
MK391,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-04-17
MK392,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-01-27
MK393,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-02-04
MK394,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-02-11
MK395,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-02-21
MK396,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-03-08
MK397,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-03-23
MK398,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-03-30
MK399,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-04-07
MK400,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-04-17
MK401,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-01-27
MK402,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-21
